Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,BHR,Bahrain,13.93375164,13.53193579,15.58458429,18.82438488,21.1034588,20.59513143,20.99293056,21.68655882,21.51810349,21.66844789,20.92493595,21.55140415,22.02428749,22.26864081,22.19060096,22.98612953,25.2800918,23.85416011,24.29883362,23.71617355,24.17024454,22.67589643,26.01205026,27.4486255,27.27708945,27.03135926,27.28657206,27.32107026,28.07282651,27.2082211,26.73262202,26.38115794,26.14370507,25.54004573,23.9966021,26.27553462,26.54610161,24.94959076,24.81841441,23.33176647,23.23262057,22.68250157,23.23468697,24.41964999,24.92349946,24.40191263,23.49751355,22.62399677,21.72458149,22.43616113,21.48053944,21.49922026
CO2,BHS,Bahamas,20.7881728,20.38404933,23.38827056,23.47851739,20.27774765,22.48158316,19.87451335,21.51976917,21.48501303,20.14495485,19.96542257,18.98312106,14.92924449,11.74983685,12.11711291,10.35633282,10.05721331,11.42304707,10.74955821,10.95922743,11.04012508,10.27826101,9.113182457,8.798098848,9.248892607,10.29749494,11.52543857,10.5901016,11.65382755,10.76926571,11.40944227,11.35420014,11.07830358,8.768370925,9.474653507,8.595493814,9.273611898,10.28378587,9.835296689,8.175497437,8.899364873,9.020825236,10.79891049,10.34715441,10.04705767,9.369255448,9.544451711,9.786944341,11.16307045,10.91906764,8.923339603,9.860330668
CO2,BIH,Bosnia and Herzegovina,4.201713715,4.162190339,3.830706557,4.138359041,4.407838002,4.47955105,4.054857645,4.357941902,4.215179969,4.095848083,4.009099358,4.537899977,4.948341797,5.227724521,5.111528971,5.251104408,5.263318903,4.981050706,4.850218278,4.933582394,5.528543647,5.053245979,3.849970011,3.352882686,0.856378194,0.934956462,1.184613658,2.346267105,2.969015138,2.920887755,3.81365367,3.760121176,3.949323257,4.041021744,4.262063631,4.47587005,4.965927808,5.246854407,5.774512474,5.801730913,5.983635863,6.863964474,6.408211607,6.459284284,5.85296158,5.910889612,6.697921201,6.854433349,6.889771677,6.503125793,6.447411998,4.401509139
CO2,BLR,Belarus,7.504866796,7.462576024,7.955741518,8.520309424,8.792195999,9.720174515,9.68458915,10.04785775,10.1112155,10.55828146,10.56729071,10.96107505,10.78425498,10.74364521,10.52430736,10.44830055,10.45758296,10.327247,10.19203033,9.793694159,10.66781156,10.24315868,9.256040472,7.985665403,6.777983316,6.078857662,6.195286056,6.277397682,6.130582993,5.919657483,5.730158413,5.652282484,5.725577462,5.839373977,6.235849979,6.370683134,6.652565652,6.529965337,6.886305657,6.567383221,7.042923227,6.72407889,6.861372968,6.840726206,6.774707498,6.305720169,6.318919771,6.449570961,6.800811938,6.575928432,6.063393734,6.210952149
CO2,BLZ,Belize,1.505254424,1.472047783,1.700777198,1.735248076,1.5212532,1.791048227,1.610783431,1.749567142,1.751037647,1.625018436,1.61767518,1.483445547,1.243273072,1.271628487,1.554619873,1.486474202,1.769481515,1.466613732,1.0511788,1.368908568,1.746254885,2.062815785,1.77277144,1.627240954,1.491557518,1.606359354,1.311545726,2.015765046,1.953242138,2.049407614,2.026581363,2.027884652,1.920494793,2.446623397,2.26066605,2.26602901,2.280427423,2.099685235,1.913060329,2.131475673,2.307248042,2.281686228,2.426636806,2.53962715,2.421651682,2.626767086,2.5548426,2.125522237,1.860378965,1.707831658,1.402864447,1.56797764
CO2,BMU,Bermuda,8.167695571,8.080100738,9.449944037,9.677697186,8.515102054,10.13968665,9.17420962,10.04238321,10.13038128,9.486643987,9.579658785,8.220033936,7.995196081,8.880172083,10.12951629,9.647551046,8.871668388,13.12215069,14.33897925,15.68092148,10.83323294,10.20370952,8.40503999,8.924631021,8.482511614,8.295746739,8.551168725,8.056396084,8.105353183,8.530652835,8.499073469,8.50648867,9.027540734,11.31167693,11.50826751,11.60352213,12.60072033,13.96355598,13.40138824,12.26049228,14.52186515,12.13492763,13.94125927,13.64594069,17.24305048,14.48703734,17.63218058,13.11978905,14.7931915,14.66478103,12.14409057,13.66228132
CO2,BOL,Bolivia,0.677926024,0.826795824,0.96464332,0.879369824,0.820490693,0.91374418,1.008995483,0.947181251,1.05504272,0.919498058,0.890471744,0.933316005,0.951640064,0.960140907,0.8582176,0.827609752,0.754830354,0.767875818,0.815090819,0.919666881,0.9615886,0.988099253,1.043218929,1.218222859,1.287787576,1.139138152,1.078455197,1.166607617,1.080843002,1.007376173,0.985682881,0.949133347,0.962162802,1.036315105,1.060393636,1.103027516,1.211571549,1.283683004,1.369459032,1.439807785,1.533048523,1.652611529,1.704322437,1.795789772,1.919246493,1.922607428,2.020169314,2.062543845,2.074676314,1.988826433,1.754393325,1.915616373
CO2,BRA,Brazil,1.149592678,1.118190862,1.208698664,1.34978269,1.412268567,1.456434098,1.586535691,1.618323747,1.700092259,1.770865728,1.732733091,1.568192176,1.524167145,1.402898077,1.405123244,1.436382581,1.577525638,1.579473282,1.566474571,1.549119312,1.530632563,1.552187629,1.548456982,1.594225617,1.620532612,1.716682924,1.83097437,1.92449527,1.953142013,1.97775825,2.080871883,2.057144441,2.02892479,2.004916787,2.069862094,2.061455474,2.055771376,2.123158364,2.205073248,2.040425492,2.288846963,2.36635383,2.52617345,2.632970067,2.739012479,2.563284022,2.376615281,2.408888586,2.276978123,2.251349229,2.063792843,2.275465833
CO2,BRB,Barbados,3.183275358,3.166774687,3.719704026,3.793765811,3.34943471,3.998277975,3.663829054,4.00708708,4.089226692,3.858130306,3.918272964,3.991380542,3.746488136,4.192339007,4.910920449,5.536855134,5.731573004,5.504134892,5.162436115,5.205822759,5.254011608,5.404052618,5.648742041,5.158855646,4.844365991,4.821275072,4.813008804,5.240543946,5.529811171,5.986632425,5.93542924,5.872653593,5.837450988,6.704373462,6.749027092,6.567139309,6.382215058,6.040601723,6.77488519,6.917151429,7.020163971,8.378884411,8.312273434,8.567261975,7.563658224,7.735138284,7.765881358,6.042427664,6.765914128,6.667732296,5.533870958,6.130127051
CO2,BRN,Brunei,15.75886908,13.91698367,15.65181104,17.55745967,16.56360629,15.88705211,17.18475542,16.72139064,16.939414,14.568487,17.52917877,14.18092979,14.93970752,15.40360846,13.8754623,13.53051931,13.04015255,12.91985147,13.13094191,12.67953268,12.91820663,13.92589966,14.24876846,14.43861463,15.07318522,15.81176419,16.17444527,17.58845641,14.63480297,14.07798005,14.67077485,14.33904958,13.81432331,16.13970721,14.65653058,14.17262703,20.79315378,19.47305017,21.21022644,20.84209778,18.8802895,19.06951132,18.70694478,18.19730322,17.52122574,15.61171777,16.78980449,17.36287349,17.76787613,16.72146977,16.20001673,16.05289658
